,0,1,2,3
0,191.9790628,131,125.1510376,10
1,190.5796055,106,101.9456839,10
2,191.4910353,118,113.9456839,10
3,190.512938,100,87.94568393,11
4,194.3457232,151,145.1510376,13
5,198.9871578,210,198.6777927,15
6,195.3607664,187,170.1510376,13
7,202.7087977,211,199.6777927,16
8,198.9871578,210,198.6777927,15
9,196.9491433,196,184.6777927,14
10,198.9871578,210,198.6777927,15
11,198.9514456,203,191.6777927,14
12,196.9491433,196,184.6777927,14
14,192.859073,131,129.1622348,12
15,191.8547685,122,122,12
16,196.6900281,194,176.5781061,14
18,189.3239044,56,56,9
19,193.4791316,143,143,13
