1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,0,0,0,0,1,0,0,1,1,0,2,3,0,0,0,2,0,0,0,4,1,0,0,3,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,3,2,0,0,0,0,1,2,1,1,1,1,2,1,0,0,1,1,0,1,1,1,0,1,3,0,0,0,1,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,4,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,7,0,4,2,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,2,0,0,3,1,2,0,0,1,0,0,0,1,1,0,1,1,0,2,1,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,2,0,2,0,0,0,1,2,4,1,0,1,0,2,0,0,1,0,1,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
0,1,1,1,3,0,0,1,2,3,0,1,1,0,0,0,2,0,1,1,4,0,1,0,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,9,1,2,1,0,1,1,1,2,2,1,0,0,0,0,0,1,0,1,0,0,2,1,0,3,2,1,2,3,0,0,1,0,0,3,1,2,2,0,0,0,1,6,0,1,0,1,1,0,0,1,2,2,0,0,1,3,5,0,1,1,6,3,0,0,2,0,0,0,3,1,0,2,1,0,0,0,0,0,1,5,0,0,0,1,0,9,1,1,0,2,2,0,2,0,1,1,1,0,4,0,0,0,0,0,0,1,2,1,0,0,0,1,0,1,5,2,0,4,0,0,1,0,4,1,3,1,0,0,3,0,2,0,0,1,0,0,3,1,3,6,1,0,2,0,1,2,1,1,3,3,0,3,0,2,2,0,0,1,0,0,3,1,2,0,1,2,1,0,1,1,2,1,0,1,2,3,0,2,3,0,0,4,0,2,1,1,1,1,0,4,0,4,2,3,0,2,0,2,1,3,0,3,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,2,0,0,3,1,0,0,1,0,0,3,1,2,0,2,0,2,0,1,0,2,0,0,0,2,0,1,2,1,1,1,0,2,5,2,0,2,0,2
1,3,2,1,2,1,2,0,2,7,2,2,0,0,2,2,4,1,2,0,9,0,2,0,0,1,1,2,0,3,1,1,0,1,2,1,3,1,4,6,2,4,4,1,3,2,1,2,0,5,1,4,4,2,3,0,1,3,1,0,2,2,4,1,1,1,2,2,0,0,0,2,0,1,3,0,3,0,0,1,0,6,0,1,0,0,2,1,0,1,1,3,1,0,2,5,3,0,2,2,18,0,3,1,0,1,0,1,4,1,0,0,5,2,0,0,1,1,2,5,1,0,1,2,4,17,0,1,3,3,3,3,3,1,1,0,2,1,1,2,1,1,0,1,0,6,3,0,0,0,0,1,1,2,5,1,1,0,0,0,0,0,2,1,0,1,1,1,5,2,9,0,0,2,1,1,0,1,2,9,4,0,1,1,3,1,3,2,2,1,1,1,1,6,1,0,1,4,0,1,0,1,3,0,2,1,1,0,1,3,0,4,0,4,1,6,3,0,2,1,1,11,3,1,1,1,1,0,0,7,1,6,6,1,0,8,0,1,6,6,0,4,3,0,1,3,1,1,1,4,3,3,1,0,0,1,1,2,3,3,2,5,0,2,1,1,0,0,4,2,0,5,0,3,0,0,0,3,1,0,1,1,1,0,3,6,0,3,3,0,1,4,1,6,4,2,1,0,0,0
2,3,6,2,3,0,2,4,1,9,2,5,3,0,2,2,1,1,0,3,4,0,3,0,3,0,1,4,1,1,2,1,0,1,1,3,3,2,1,7,2,9,7,0,1,1,3,0,0,1,5,6,0,3,1,0,1,4,0,3,3,2,2,2,3,3,3,2,1,4,1,0,0,4,6,1,2,3,1,2,2,3,0,1,0,0,1,1,0,2,0,3,0,1,3,3,3,0,3,2,15,0,2,1,2,0,0,2,4,1,4,2,4,2,0,0,0,2,1,5,2,0,2,7,4,18,0,0,0,0,2,5,3,1,0,0,5,2,5,4,1,0,0,1,2,16,3,3,0,0,3,0,4,1,6,2,0,9,1,0,3,1,0,0,2,2,2,1,2,4,5,1,0,0,1,2,0,8,2,11,8,2,2,0,7,1,4,1,2,3,3,1,2,2,1,1,3,3,0,2,2,1,4,0,4,4,1,1,0,2,0,6,5,1,2,5,1,4,1,2,3,12,4,1,0,9,3,2,3,3,2,2,5,7,0,13,2,2,4,10,2,7,1,1,2,1,3,3,6,6,2,0,0,1,1,1,3,2,3,3,1,4,2,4,6,7,2,1,2,0,2,11,2,13,4,1,2,4,1,1,2,2,2,1,5,1,3,3,1,0,2,5,0,7,4,1,1,2,1,1
0,2,5,2,3,6,5,3,3,18,2,2,1,2,0,7,5,3,3,4,13,0,1,0,4,2,0,7,2,1,5,0,3,1,1,1,2,9,1,20,7,14,2,2,0,6,4,3,3,1,4,4,1,3,3,0,1,8,1,1,5,3,4,1,3,5,3,3,0,4,0,4,2,2,5,2,8,4,0,1,1,7,0,3,1,0,2,0,0,3,0,1,2,1,5,7,13,1,1,5,15,2,3,1,1,1,0,3,4,0,2,1,2,1,2,1,2,3,2,10,2,5,5,10,2,38,1,2,1,3,3,8,4,5,3,3,6,0,4,3,1,4,1,2,3,18,2,7,2,0,11,3,8,1,4,1,2,6,4,0,1,0,4,2,2,1,1,2,3,4,10,4,2,4,2,1,2,3,1,18,2,6,4,2,14,2,2,3,4,4,1,4,6,4,2,4,1,4,3,1,8,2,11,1,1,1,1,3,1,4,1,2,4,1,2,12,1,6,3,3,7,17,9,3,4,10,4,1,6,10,0,9,6,3,2,7,3,6,10,8,0,7,1,1,3,5,6,1,12,7,3,1,1,1,1,0,6,3,3,6,5,0,2,3,9,4,1,0,3,2,1,12,1,7,2,1,1,2,0,2,4,0,1,0,13,8,2,1,1,2,4,1,1,19,12,3,0,1,1,0
1,2,5,3,4,2,6,2,3,10,1,4,3,2,1,8,7,2,5,7,13,4,0,1,2,9,1,5,4,2,1,2,2,0,3,1,3,12,3,25,2,15,5,2,2,5,2,2,3,2,5,8,1,5,2,1,0,3,0,1,6,6,2,0,9,5,4,5,1,7,1,5,0,1,11,5,16,4,0,10,2,13,2,0,0,0,4,1,1,2,2,3,1,3,1,17,9,6,0,2,21,8,5,3,2,6,3,4,6,1,7,4,2,4,3,0,3,7,4,9,2,1,4,3,6,44,1,4,3,3,7,10,6,2,4,2,6,0,5,1,3,9,1,5,2,25,4,9,1,1,7,2,0,5,1,3,5,9,3,1,0,2,1,0,2,4,0,2,3,3,11,2,0,12,1,4,3,9,2,19,5,4,0,0,21,1,0,2,5,15,1,0,6,5,5,0,4,4,1,4,13,1,6,1,2,3,3,3,3,6,3,2,3,2,5,18,4,5,1,7,4,19,8,0,5,10,5,0,4,12,2,15,7,3,1,11,1,0,9,10,4,14,4,2,5,8,1,2,2,10,6,1,2,0,4,2,8,5,2,6,6,7,6,1,19,5,7,1,6,2,2,17,3,4,5,0,0,1,0,2,9,2,0,1,16,8,2,3,11,3,4,3,1,9,13,6,1,1,1,2
7,6,13,3,0,8,8,5,4,18,1,7,3,0,3,10,5,6,3,7,21,2,3,1,5,4,2,7,2,0,1,2,1,7,4,3,3,20,3,32,0,21,8,4,3,4,8,10,4,2,8,11,9,10,5,2,2,9,2,3,7,8,10,1,5,7,9,5,6,13,3,10,1,2,12,5,17,1,1,10,2,10,1,1,3,0,6,4,3,3,13,7,6,3,5,16,8,5,3,9,23,4,4,1,5,10,4,6,3,4,3,1,6,6,3,0,0,6,7,4,7,4,3,9,8,59,1,2,1,5,8,17,16,1,7,1,4,0,8,6,0,15,2,6,6,18,3,16,1,0,4,4,0,8,6,7,5,8,4,0,4,5,5,3,2,3,5,3,4,6,30,5,3,6,2,5,2,8,5,29,2,10,3,0,24,2,4,3,6,15,5,1,7,3,12,1,5,7,7,6,15,2,5,7,7,2,1,3,1,11,0,1,3,6,8,30,4,6,3,7,0,30,4,1,6,5,6,0,6,14,3,10,17,8,3,4,2,3,8,15,2,6,4,3,7,6,6,0,6,7,17,6,1,2,8,3,19,7,2,5,4,10,8,5,23,8,5,0,8,5,6,18,2,11,6,12,1,4,0,2,16,3,5,2,21,11,5,10,4,2,2,6,4,23,12,11,1,3,0,0
6,4,10,0,1,20,8,9,10,26,1,6,0,4,3,18,10,4,6,17,16,2,2,3,9,3,1,5,1,1,1,2,10,6,1,1,3,15,3,48,2,23,5,4,9,13,7,6,10,4,3,7,11,8,7,7,5,5,0,2,5,2,11,2,13,9,6,6,2,23,0,7,2,7,8,4,11,4,4,11,1,11,2,1,7,2,7,12,3,3,19,8,3,3,10,14,12,5,3,16,19,2,3,1,4,15,2,14,2,2,7,3,6,14,2,0,4,7,14,12,10,2,3,6,18,74,1,4,1,7,5,12,11,1,10,3,12,2,8,6,1,11,4,5,9,20,2,9,3,0,3,4,5,9,13,12,4,11,4,2,8,6,2,1,1,2,8,6,12,2,20,5,3,3,1,6,2,13,7,31,5,29,0,3,15,3,2,4,12,23,8,3,22,4,14,4,3,12,5,3,10,4,9,4,7,3,1,6,8,21,1,6,5,2,16,22,4,5,7,12,4,28,19,3,16,9,10,2,6,9,2,21,14,7,5,11,0,3,10,24,5,11,10,3,3,10,1,2,5,11,27,2,3,0,6,13,10,4,1,15,8,14,9,3,18,12,8,0,8,4,7,15,5,16,7,15,2,5,4,2,17,3,2,3,14,10,5,7,8,3,7,6,2,18,6,10,2,0,0,6
10,7,15,1,2,21,6,8,7,26,3,11,3,4,9,9,1,16,11,21,10,5,8,9,9,15,2,13,1,2,0,12,8,8,2,2,3,8,2,46,1,19,7,5,8,9,5,8,14,5,7,5,12,9,10,4,5,12,0,5,12,5,12,4,8,7,3,8,1,42,1,3,2,7,14,10,3,4,1,16,2,7,0,3,16,1,7,7,4,5,28,11,10,6,6,14,13,1,1,12,10,3,3,1,5,16,2,13,9,8,13,7,4,18,3,0,12,8,16,15,18,0,5,14,11,67,1,3,4,8,6,11,13,2,28,3,9,3,9,7,4,6,1,4,15,21,6,8,1,1,4,13,4,11,4,22,2,6,6,7,10,20,2,3,7,7,3,3,23,2,28,8,4,2,2,6,3,10,4,34,5,27,5,9,10,17,6,4,16,18,11,3,35,11,26,6,10,15,2,6,3,2,13,2,7,9,2,10,7,27,2,2,11,2,30,24,2,4,19,6,3,27,29,5,16,6,15,3,2,13,0,4,11,9,1,5,3,1,8,28,4,11,17,3,10,13,5,0,8,7,49,3,3,3,4,2,7,7,5,13,4,18,2,3,10,21,18,0,7,6,7,21,5,15,10,13,1,12,2,7,19,4,10,0,26,3,6,12,8,8,22,14,1,18,7,19,2,10,2,2
31,1,10,1,3,24,12,12,9,10,0,10,2,3,12,8,8,19,6,28,12,7,11,10,7,16,5,7,4,6,1,19,9,8,5,4,2,9,3,28,0,12,12,3,7,11,3,25,11,3,10,6,11,13,20,3,3,5,2,5,8,4,9,5,13,10,4,6,5,35,2,7,7,4,6,6,2,3,0,21,4,8,2,0,15,1,7,8,11,10,26,7,2,4,10,11,18,2,1,14,13,1,3,0,5,29,1,19,9,5,16,10,6,29,1,0,10,8,17,15,11,3,2,19,12,50,3,6,5,4,8,11,11,4,27,6,11,8,9,10,3,5,2,4,16,21,6,16,1,0,6,9,1,16,8,17,2,6,12,16,12,15,4,3,6,6,4,6,21,3,20,4,7,9,5,10,2,12,4,33,7,22,11,9,6,16,4,1,14,25,5,2,31,8,15,7,4,17,6,5,4,13,10,4,8,6,6,9,12,27,3,5,5,3,24,16,3,3,4,10,2,30,22,1,18,8,13,3,5,10,0,5,18,5,4,6,5,0,8,30,9,9,14,1,8,12,5,2,7,7,55,1,6,8,9,1,18,12,6,9,3,35,1,1,12,30,10,3,16,5,7,15,2,9,11,31,0,17,3,13,23,0,18,1,18,13,17,10,16,10,19,20,0,19,9,17,5,7,1,5
