station,capacity
11001,36
11002,32
11003,42
11004,30
11005,37
11006,29
11007,42
11008,39
11009,29
11011,32
11012,37
11013,41
11014,42
11015,39
11016,48
11018,56
11019,38
11020,44
11021,34
11022,27
11023,30
11024,47
11025,35
11026,25
11027,39
11028,31
11029,58
11030,46
11031,49
11034,48
11035,45
11101,33
11102,46
11103,41
11104,28
11105,48
11106,34
11107,45
11123,42
11126,29
11127,37
11128,46
11129,28
11130,43
11153,30
11157,28
11271,34
11272,34
13001,41
13002,53
13003,49
13004,51
13005,36
13006,48
13007,40
13009,51
13010,48
13011,41
13012,32
13013,59
13014,42
13015,64
13016,45
13017,36
13025,58
13026,42
13061,36
13062,41
13064,19
13070,26
13072,20
13073,40
13075,37
13094,35
13095,22
13096,27
13097,26
13098,37
13099,35
15001,52
15002,60
15003,58
15004,58
15005,35
15006,42
15007,58
15008,52
15009,55
15011,60
15012,60
15013,41
15014,34
15015,41
15016,39
15017,58
15018,56
15019,41
15020,41
15021,44
15022,48
15023,41
15024,45
15025,47
15026,41
15027,58
15028,62
15029,60
15030,45
15031,27
15032,41
15033,44
15034,45
15035,58
15036,39
15037,48
15038,34
15039,31
15040,34
15042,47
15043,42
15044,49
15045,35
15046,57
15047,41
15048,35
15049,21
15051,41
15052,62
15053,40
15054,29
15055,25
15056,45
15057,45
15058,47
15059,31
15060,24
15061,36
15062,52
15063,61
15064,31
15065,42
15066,23
15067,36
15068,59
15069,43
15070,35
15075,33
15076,40
15077,27
15079,26
15083,50
15084,53
15087,45
15088,44
15090,30
15098,50
15099,34
15100,39
15101,40
15118,48
15120,24
15143,35
15144,30
15148,35
