id,demand,max_capacity,bike_count,ratio,diversity,full_empty_time,warning_time,latest_time,cluster,priority,velocity,key_distance,latitude,longitude,past_rent_01,past_rent_02,past_rent_03,past_rent_04,past_return_01,past_return_02,past_return_03,past_return_04,pred_rent_01,pred_rent_02,pred_rent_03,pred_rent_04,pred_return_01,pred_return_02,pred_return_03,pred_return_04,visited
11001,18,36,0,0,NULL,0,NULL,NULL,NULL,-1,0.24,2.96,32.0432,118.768,6,7,4,5,5,3,11,6,22,17,9,8,22,7,13,3,NULL
11002,0,32,32,1,NULL,0,NULL,NULL,NULL,-1,0,2.67,32.0429,118.771,1,4,2,3,1,3,4,0,15,5,5,6,9,8,8,2,NULL
11003,13,42,0,0,NULL,0,NULL,NULL,NULL,-1,0.09,2.21,32.0427,118.776,2,6,6,3,5,4,1,3,19,15,12,5,9,13,4,2,NULL
11004,-15,30,30,1,NULL,0,NULL,NULL,NULL,-1,-0.18,2.12,32.0427,118.777,0,3,3,2,3,6,4,1,11,5,6,5,14,12,11,4,NULL
11005,-16,37,37,1,NULL,0,NULL,NULL,NULL,-1,-0.18,1.74,32.0425,118.781,4,3,2,0,3,6,4,2,6,8,6,0,13,15,10,1,NULL
11006,0,29,0,0,NULL,0,NULL,NULL,NULL,-1,0,1.56,32.0423,118.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
11007,13,42,0,0,NULL,0,NULL,NULL,NULL,-1,0.09,3.73,32.0479,118.761,1,3,0,2,0,1,1,6,8,4,2,3,11,2,2,4,NULL
11008,0,39,21,0.54,NULL,45,NULL,NULL,NULL,-1,-0.09,3.48,32.0485,118.764,1,0,0,2,1,2,1,0,1,1,0,0,4,3,4,1,NULL
11009,14,29,0,0,NULL,0,NULL,NULL,NULL,11.71,0.18,3.59,32.0513,118.764,2,6,3,2,2,1,2,1,11,8,7,1,3,7,4,0,NULL
11011,0,32,0,0,NULL,45,NULL,NULL,NULL,-1,-0.06,3,32.0497,118.77,8,3,5,7,2,6,9,12,16,19,8,2,38,15,15,12,NULL
11012,-23,37,37,1,NULL,0,NULL,NULL,NULL,17.38,-0.34,3.04,32.0519,118.771,1,7,4,0,11,12,4,14,10,11,10,0,38,27,16,9,NULL
11013,-26,41,41,1,NULL,0,NULL,NULL,NULL,-1,-0.39,2.38,32.0503,118.778,6,2,2,4,4,10,9,1,9,10,3,2,26,21,18,7,NULL
11014,19,42,0,0,NULL,0,NULL,NULL,NULL,-1,0.22,3.15,32.055,118.772,4,8,7,6,2,3,5,3,21,16,14,0,16,11,8,5,NULL
11015,0,39,0,0,NULL,45,NULL,NULL,NULL,-1,-0.01,3.54,32.055,118.767,0,0,2,5,0,1,1,0,6,3,2,1,5,1,2,2,NULL
