id,longitude,latitude,max_capacity,bike_count,past_rent_01,past_rent_02,past_rent_03,past_rent_04,past_return_01,past_return_02,past_return_03,past_return_04,pred_rent_01,pred_rent_02,pred_rent_03,pred_rent_04,pred_return_01,pred_return_02,pred_return_03,pred_return_04
11001,118.7681975,32.04315277,36,2,6,7,4,5,5,3,11,6,22,17,9,8,22,7,13,3
11002,118.7714496,32.04294809,32,9,1,4,2,3,1,3,4,0,15,5,5,6,9,8,8,2
11003,118.7755896,32.04272639,42,9,2,6,6,3,5,4,1,3,19,15,12,5,9,13,4,2
11004,118.7773111,32.04273206,30,12,0,3,3,2,3,6,4,1,11,5,6,5,14,12,11,4
11005,118.7806379,32.04253926,37,5,4,3,2,0,3,6,4,2,6,8,6,0,13,15,10,1
11006,118.7829754,32.04232509,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11007,118.7606796,32.04788921,42,3,1,3,0,2,0,1,1,6,8,4,2,3,11,2,2,4
11008,118.7636649,32.04845834,39,3,1,0,0,2,1,2,1,0,1,1,0,0,4,3,4,1
11009,118.764086,32.05131857,29,9,2,6,3,2,2,1,2,1,11,8,7,1,3,7,4,0
11011,118.7703239,32.04970522,32,7,8,3,5,7,2,6,9,12,16,19,8,2,38,15,15,12
11012,118.7713575,32.05187115,37,12,1,7,4,0,11,12,4,14,10,11,10,0,38,27,16,9
11013,118.7783109,32.05032155,41,11,6,2,2,4,4,10,9,1,9,10,3,2,26,21,18,7
11014,118.7715707,32.05501533,42,21,4,8,7,6,2,3,5,3,21,16,14,0,16,11,8,5
11015,118.7665674,32.05502784,39,11,0,0,2,5,0,1,1,0,6,3,2,1,5,1,2,2
11016,118.7641294,32.05533567,48,12,0,4,5,1,3,2,3,1,12,7,8,4,12,8,6,7
11018,118.7632431,32.06055179,56,12,3,21,7,2,2,2,1,0,35,24,28,6,3,5,4,0
11019,118.7651605,32.06031422,38,8,1,4,1,0,6,3,5,4,5,4,6,0,12,13,9,1
11020,118.7707136,32.05936686,44,9,2,3,5,2,4,5,3,2,11,8,7,2,11,8,6,3
11021,118.7647556,32.0596985,34,12,8,10,10,7,5,4,3,7,30,23,20,4,18,12,7,4
11022,118.7647587,32.06168806,27,4,0,1,1,0,2,0,6,6,2,1,3,0,13,5,5,2
11023,118.7647538,32.06264685,30,2,1,1,0,0,1,1,2,1,1,3,1,1,4,3,4,1
11024,118.7652928,32.06408835,47,1,4,0,1,1,1,0,2,0,2,4,1,0,2,1,3,1
11025,118.7676817,32.0634865,35,2,1,0,0,1,1,1,0,0,3,4,0,2,1,3,1,0
11026,118.7656158,32.06610479,25,10,1,2,4,3,2,2,2,3,13,6,5,6,6,6,2,1
11027,118.7673442,32.06752977,39,5,3,3,2,4,1,9,7,4,9,7,4,1,22,15,16,4
11028,118.7698987,32.06595687,31,4,7,3,7,3,6,13,37,9,15,16,9,2,64,26,50,6
11029,118.7782383,32.06516434,58,5,2,4,2,3,0,4,6,5,8,8,4,0,16,9,11,0
11030,118.7790235,32.06401193,46,4,4,4,1,2,2,2,4,2,8,11,4,1,7,5,5,0
11031,118.784071,32.06238954,49,15,2,5,3,0,4,4,2,1,14,8,8,7,6,11,6,1
11034,118.7707303,32.07725397,48,8,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
11035,118.7695369,32.07626083,45,10,1,1,1,1,1,0,0,0,3,2,2,0,1,2,1,1
11101,118.7666404,32.06650829,33,2,1,0,2,0,0,0,2,0,3,2,1,2,1,0,2,0
11102,118.7781331,32.07189997,46,17,2,4,4,5,22,8,14,5,15,10,9,3,28,44,21,1
11103,118.7832256,32.0470008,41,6,4,5,1,3,0,4,3,4,14,11,5,5,23,6,7,12
11104,118.7648414,32.06880848,28,14,9,2,5,1,2,11,1,3,10,15,8,1,14,15,11,1
11105,118.7673393,32.05760995,48,12,3,2,5,1,8,11,19,4,10,5,7,3,41,26,29,9
11106,118.7696388,32.06490723,34,5,0,2,0,1,1,2,4,4,6,3,4,2,14,4,5,4
11107,118.7834256,32.05009991,45,20,4,10,5,10,13,5,3,3,30,21,15,6,14,24,9,4
11123,118.7642419,32.07210797,42,19,0,3,2,3,1,0,1,0,10,4,6,3,0,2,3,0
11126,118.7843253,32.05779729,29,11,8,7,4,4,2,0,3,4,17,18,11,3,6,7,3,1
11127,118.7732371,32.07240349,37,5,5,4,3,2,1,1,4,3,13,9,5,3,9,8,5,1
11128,118.7792315,32.06590034,46,5,3,3,5,3,3,3,7,11,14,8,8,3,29,9,10,9
11129,118.7815285,32.05879982,28,3,2,2,3,2,1,4,2,2,11,10,5,5,11,9,5,4
11130,118.7843256,32.06019676,43,28,10,16,10,3,4,2,2,0,29,30,25,3,4,7,3,1
11153,118.771437,32.05760783,30,2,0,2,1,0,2,1,2,1,3,4,3,0,4,4,2,0
11157,118.7752345,32.06040472,28,5,1,8,2,5,2,1,4,3,15,13,9,1,7,4,6,0
11271,118.7597373,32.06539351,34,8,0,3,1,1,0,0,0,0,4,5,3,1,2,0,0,1
11272,118.7606942,32.06549232,34,8,2,3,3,2,2,2,2,2,6,6,6,0,7,5,2,3
13001,118.7888972,32.04194378,41,6,0,1,2,1,0,3,0,2,7,4,4,2,6,4,3,1
13002,118.7906022,32.0447791,53,7,4,3,1,5,6,9,12,14,13,10,4,3,45,19,20,9
13003,118.7844831,32.04668559,49,9,1,1,2,0,2,2,6,1,4,2,2,2,14,6,7,5
13004,118.7943894,32.04169896,51,8,7,8,5,7,6,1,2,6,20,19,13,2,9,10,4,0
13005,118.7946043,32.04367623,36,10,4,3,6,5,0,1,0,1,17,11,9,4,6,4,3,3
13006,118.7988534,32.04134984,48,4,0,3,0,1,0,0,1,0,5,5,4,0,1,3,1,0
13007,118.7988186,32.04282656,40,5,1,0,2,1,1,0,0,2,4,3,2,2,3,2,0,0
13009,118.7968373,32.04877404,51,11,1,2,3,3,0,1,4,6,13,3,5,5,15,5,5,4
13010,118.7960975,32.04919997,48,9,3,5,5,6,5,5,4,6,22,14,10,7,22,12,9,7
13011,118.7844838,32.0542849,41,10,0,1,1,2,5,6,5,7,5,3,2,0,19,12,10,2
13012,118.7870358,32.05461908,32,14,0,4,3,4,4,4,6,2,13,7,6,1,14,10,7,2
13013,118.7846062,32.06023146,59,14,4,9,15,5,2,7,6,3,31,16,22,4,20,13,11,5
13014,118.7874566,32.05839677,42,8,2,2,2,2,2,2,1,2,7,5,2,1,9,7,4,4
13015,118.7962222,32.05826179,64,7,2,3,4,2,6,3,0,2,11,9,7,3,6,11,2,1
13016,118.8005322,32.05798368,45,6,6,2,0,7,4,4,1,1,10,10,0,4,8,8,4,2
13017,118.8055404,32.05788099,36,3,3,2,0,2,0,0,1,1,6,5,2,2,2,0,1,1
13025,118.7845113,32.07021338,58,21,17,25,20,8,6,8,5,4,58,67,44,5,25,21,12,10
13026,118.7844789,32.07645108,42,7,1,1,0,2,2,2,0,1,4,2,1,0,2,6,0,0
13061,118.7860367,32.05107197,36,7,1,3,2,4,1,6,6,4,11,5,5,2,18,10,12,4
13062,118.7925152,32.06323662,41,17,6,7,5,7,2,2,4,3,20,19,12,3,11,5,7,3
13064,118.7911167,32.05826947,19,1,1,2,0,0,2,2,1,3,3,2,1,2,6,5,4,0
