station,Docked_Rent_15_1,Docked_Rent_15_2,Docked_Rent_15_3,Docked_Rent_15_4,Docked_Rent_15_5,Docked_Rent_15_6,Docked_Rent_15_7,Docked_Rent_15_8,Docked_Rent_15_9,Docked_Rent_15_10,Docked_Rent_15_11,Docked_Rent_15_12,Docked_Return_15_1,Docked_Return_15_2,Docked_Return_15_3,Docked_Return_15_4,Docked_Return_15_5,Docked_Return_15_6,Docked_Return_15_7,Docked_Return_15_8,Docked_Return_15_9,Docked_Return_15_10,Docked_Return_15_11,Docked_Return_15_12,Docked_Rent_30_1,Docked_Rent_30_2,Docked_Rent_30_3,Docked_Rent_30_4,Docked_Rent_30_5,Docked_Rent_30_6,Docked_Return_30_1,Docked_Return_30_2,Docked_Return_30_3,Docked_Return_30_4,Docked_Return_30_5,Docked_Return_30_6,Docked_Rent_45_1,Docked_Rent_45_2,Docked_Rent_45_3,Docked_Rent_45_4,Docked_Return_45_1,Docked_Return_45_2,Docked_Return_45_3,Docked_Return_45_4,Docked_Rent_60_1,Docked_Rent_60_2,Docked_Rent_60_3,Docked_Return_60_1,Docked_Return_60_2,Docked_Return_60_3
11101,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0
11102,1.0,0.0,2.0,3.0,6.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,0.0,1.0,0.0,4.0,12.0,10.0,17.0,20.0,9.0,13.0,6.0,1.0,0.0,5.0,9.0,6.0,9.0,7.0,0.0,6.0,21.0,36.0,21.0,7.0,3.0,11.0,10.0,11.0,3.0,24.0,44.0,19.0,5.0,16.0,15.0,8.0,55.0,28.0
11103,0.0,0.0,0.0,0.0,1.0,5.0,3.0,5.0,5.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0,3.0,12.0,0.0,1.0,6.0,7.0,5.0,9.0,0.0,1.0,1.0,2.0,7.0,16.0,0.0,6.0,11.0,10.0,1.0,2.0,6.0,18.0,2.0,12.0,14.0,2.0,4.0,23.0
11104,0.0,1.0,0.0,3.0,2.0,8.0,4.0,9.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,4.0,9.0,1.0,3.0,1.0,1.0,5.0,9.0,12.0,8.0,1.0,1.0,2.0,3.0,7.0,11.0,3.0,3.0,12.0,15.0,8.0,2.0,5.0,15.0,5.0,6.0,21.0,10.0,2.0,10.0,14.0
11105,0.0,1.0,0.0,2.0,2.0,2.0,0.0,4.0,1.0,5.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,4.0,6.0,8.0,12.0,18.0,3.0,9.0,1.0,2.0,4.0,4.0,7.0,4.0,1.0,2.0,6.0,15.0,29.0,12.0,1.0,6.0,5.0,8.0,0.0,9.0,26.0,30.0,2.0,9.0,10.0,4.0,20.0,41.0
11106,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,3.0,5.0,8.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,12.0,2.0,0.0,6.0,2.0,3.0,14.0
11107,0.0,1.0,2.0,1.0,4.0,1.0,8.0,4.0,10.0,5.0,10.0,6.0,2.0,0.0,2.0,1.0,1.0,2.0,6.0,13.0,5.0,4.0,2.0,4.0,1.0,3.0,6.0,11.0,15.0,15.0,0.0,3.0,5.0,18.0,9.0,7.0,3.0,8.0,21.0,20.0,3.0,6.0,24.0,10.0,5.0,17.0,30.0,5.0,23.0,14.0
11123,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,5.0,1.0,0.0,4.0,0.0,3.0,0.0,2.0,5.0,4.0,7.0,0.0,4.0,2.0,0.0,2.0,6.0,10.0,1.0,5.0,0.0
11126,0.0,1.0,0.0,0.0,2.0,2.0,4.0,9.0,6.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,4.0,12.0,11.0,7.0,1.0,0.0,2.0,6.0,3.0,3.0,1.0,6.0,18.0,11.0,1.0,1.0,7.0,6.0,2.0,16.0,17.0,0.0,8.0,6.0
11127,1.0,1.0,1.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,6.0,9.0,8.0,5.0,6.0,0.0,1.0,1.0,7.0,5.0,3.0,3.0,13.0,9.0,9.0,1.0,2.0,8.0,7.0,8.0,16.0,13.0,1.0,9.0,9.0
