ID,1,2,3
1,57,75,84
2,36,48,49
3,38,49,59
4,20,31,33
5,51,65,73
6,98,128,134
7,30,38,46
8,104,123,129
9,37,43,47
10,68,87,90
11,18,27,32
12,67,104,131
13,35,47,48
14,11,14,18
15,23,33,37
16,20,26,29
17,61,78,81
18,32,49,55
19,27,37,43
20,54,74,86
21,64,84,95
22,22,27,36
23,19,29,38
24,45,53,62
25,42,60,75
26,76,99,113
27,21,32,35
28,50,81,97
29,11,16,17
30,57,96,117
31,16,22,25
32,43,54,62
33,21,30,36
34,53,79,83
35,44,69,77
36,18,23,30
37,44,64,68
38,61,84,93
39,27,34,37
40,106,129,140
41,26,36,38
42,79,85,91
43,57,80,91
44,23,28,31
45,40,61,72
46,34,42,51
47,25,36,41
48,40,53,55
49,27,29,31
50,21,33,36
51,31,48,59
52,51,59,61
53,59,82,100
54,40,59,72
55,50,73,80
56,14,19,21
57,26,32,38
58,52,71,91
59,9,12,13
60,18,23,26
61,36,42,43
62,46,70,85
63,68,96,122
64,17,20,21
65,27,38,45
66,51,67,77
67,40,50,54
68,45,61,68
69,14,19,23
70,106,135,157
71,24,39,50
72,33,42,48
73,26,38,42
74,79,139,169
75,42,62,77
76,21,25,29
77,50,66,86
78,21,27,29
79,12,21,21
80,36,42,52
81,32,38,44
82,53,69,76
83,43,57,58
84,26,37,40
85,53,77,86
86,18,22,26
87,37,47,56
88,59,100,120
89,29,42,44
90,23,30,36
91,36,43,66
92,50,58,67
93,14,19,23
94,39,62,65
95,35,50,59
96,37,45,54
97,73,108,135
98,33,43,44
99,25,34,36
100,43,58,66
101,128,155,160
102,34,48,56
103,40,50,56
104,30,39,46
105,32,41,51
106,87,127,144
107,24,35,41
108,38,46,53
109,29,43,51
110,57,79,105
111,29,39,46
112,39,50,58
113,41,50,57
114,53,66,81
115,35,49,52
116,14,14,16
117,52,75,97
118,28,37,46
119,55,75,93
120,81,113,120
121,75,107,129
122,21,24,27
123,25,35,43
124,55,72,78
125,30,37,59
126,146,178,193
127,14,15,16
128,36,47,53
129,35,52,56
130,40,47,56
131,28,41,49
132,40,57,69
133,43,63,74
134,35,56,69
135,33,50,63
136,11,16,18
137,31,41,49
138,44,55,61
139,44,65,79
140,27,36,41
141,23,27,31
142,27,37,43
143,13,20,22
144,47,61,66
145,51,59,65
146,100,123,127
147,28,39,47
148,46,58,61
149,24,30,31
150,6,6,7
151,23,29,32
152,42,59,64
153,19,23,26
154,19,27,31
155,62,84,91
156,49,68,76
157,20,28,32
158,56,65,66
159,50,74,87
160,52,72,83
161,38,53,60
162,54,75,84
163,39,49,53
164,43,63,67
165,40,58,63
166,28,36,40
167,63,79,84
168,19,23,23
169,61,83,92
170,39,65,77
171,89,105,108
172,37,42,42
173,81,121,130
174,40,59,64
175,13,16,17
176,51,87,127
177,46,60,69
178,30,41,55
179,44,57,66
180,91,106,110
181,45,58,63
182,62,78,90
183,29,42,51
184,9,11,13
185,57,71,83
186,44,58,64
187,32,40,45
188,33,45,48
189,89,115,124
190,78,106,114
191,58,89,100
192,40,58,69
193,53,67,86
194,57,76,85
195,72,99,115
196,30,40,52
197,29,40,48
198,58,69,89
199,22,31,34
200,33,38,47
201,41,55,61
202,23,28,32
203,35,45,52
204,34,37,41
205,56,74,81
206,29,39,41
207,50,74,83
208,21,34,39
209,38,43,46
210,46,62,75
211,35,51,54
212,59,82,93
213,39,47,57
214,38,58,66
215,70,77,82
216,60,80,88
217,38,58,81
218,49,66,69
219,40,51,65
220,30,45,55
221,43,66,75
222,78,99,112
223,91,129,148
224,27,41,44
225,65,95,120
226,34,40,47
227,40,57,67
228,31,42,46
229,23,25,29
230,43,50,52
231,13,17,18
232,65,69,70
233,47,63,78
234,24,28,30
235,45,59,67
236,117,132,146
237,53,73,98
238,19,28,28
239,41,51,59
240,79,108,129
241,53,80,98
242,45,57,67
243,33,40,48
244,24,35,51
245,41,45,52
246,51,71,81
247,32,43,51
248,22,38,43
249,37,49,53
250,54,76,83
251,119,184,200
252,30,41,50
253,44,57,64
254,31,48,52
255,27,35,36
256,32,36,37
257,49,71,80
258,53,67,79
259,34,37,39
260,34,47,51
261,40,53,59
262,67,92,108
263,39,55,62
264,25,32,36
265,62,72,87
266,82,102,114
267,50,72,94
268,18,29,36
269,48,70,92
270,39,55,67
271,41,65,74
272,59,72,84
273,46,63,70
274,59,71,79
275,70,89,97
276,66,91,104
277,23,32,45
278,27,34,38
279,13,18,20
280,37,54,62
281,35,49,68
282,53,72,76
283,44,65,74
284,22,28,32
285,60,81,92
286,59,71,72
287,38,41,43
288,47,67,83
289,32,42,48
290,65,86,100
291,62,67,71
292,60,69,78
293,7,7,8
294,85,92,94
295,54,73,80
296,48,72,89
297,34,46,57
298,26,30,37
299,16,20,21
300,29,38,44
