station,Docked_Rent_15_1,Docked_Rent_15_2,Docked_Rent_15_3,Docked_Rent_15_4,Docked_Rent_15_5,Docked_Rent_15_6,Docked_Rent_15_7,Docked_Rent_15_8,Docked_Rent_15_9,Docked_Rent_15_10,Docked_Rent_15_11,Docked_Rent_15_12,Docked_Return_15_1,Docked_Return_15_2,Docked_Return_15_3,Docked_Return_15_4,Docked_Return_15_5,Docked_Return_15_6,Docked_Return_15_7,Docked_Return_15_8,Docked_Return_15_9,Docked_Return_15_10,Docked_Return_15_11,Docked_Return_15_12,Docked_Rent_30_1,Docked_Rent_30_2,Docked_Rent_30_3,Docked_Rent_30_4,Docked_Rent_30_5,Docked_Rent_30_6,Docked_Return_30_1,Docked_Return_30_2,Docked_Return_30_3,Docked_Return_30_4,Docked_Return_30_5,Docked_Return_30_6,Docked_Rent_45_1,Docked_Rent_45_2,Docked_Rent_45_3,Docked_Rent_45_4,Docked_Return_45_1,Docked_Return_45_2,Docked_Return_45_3,Docked_Return_45_4,Docked_Rent_60_1,Docked_Rent_60_2,Docked_Rent_60_3,Docked_Return_60_1,Docked_Return_60_2,Docked_Return_60_3
11101,0,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,2,1,0,0,1,0,2,0,1,0,2,3,0,1,0,2,1,2,3,0,1,2
11102,1,0,1,2,7,3,3,2,4,4,5,3,0,0,0,3,10,10,16,22,8,14,5,2,1,3,10,5,8,8,0,3,20,38,22,7,2,12,9,12,0,23,46,21,4,15,16,3,58,29
11103,0,0,0,0,0,4,3,4,5,1,3,5,0,0,0,0,1,0,1,0,4,3,4,12,0,0,4,7,6,8,0,0,1,1,7,16,0,4,12,9,0,1,5,19,0,11,14,0,2,23
11104,0,1,1,2,1,8,3,9,2,5,1,2,0,0,1,0,2,1,3,2,11,1,3,1,1,3,9,12,7,3,0,1,3,5,12,4,2,11,14,8,1,3,16,5,4,21,10,1,8,16
11105,0,0,0,1,2,2,0,3,2,5,1,3,0,0,0,2,1,3,6,8,11,19,4,9,0,1,4,3,7,4,0,2,4,14,30,13,0,5,5,9,0,6,25,32,1,7,11,2,18,43
11106,0,1,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,1,2,4,4,4,1,1,0,0,2,3,0,0,1,1,6,8,1,1,2,3,0,1,3,12,2,0,5,0,2,14
11107,0,0,2,1,4,1,6,4,10,5,10,6,1,0,2,0,2,1,5,13,5,3,3,5,0,3,5,10,15,16,1,2,3,18,8,8,2,6,20,21,3,3,23,11,3,15,31,3,21,16
11123,1,1,0,0,2,3,0,0,3,2,3,3,0,0,0,0,4,0,0,1,0,1,0,0,2,0,5,0,5,6,0,0,4,1,1,0,2,5,3,8,0,4,1,1,2,5,11,0,5,1
11126,1,0,0,0,1,2,3,8,7,4,4,4,0,0,0,0,0,1,4,2,0,3,4,0,1,0,3,11,11,8,0,0,1,6,3,4,1,3,18,12,0,1,6,7,1,14,19,0,7,7
11127,0,1,2,3,4,4,3,5,4,3,2,3,0,0,0,0,1,1,5,1,1,4,3,0,1,5,8,8,7,5,0,0,2,6,5,3,3,11,12,8,0,2,7,7,6,16,12,0,8,8
11128,0,0,1,0,2,1,2,3,3,5,3,3,1,0,0,2,1,2,1,3,3,7,11,10,0,1,3,5,8,6,1,2,3,4,10,21,1,3,8,11,1,5,7,28,1,8,14,3,7,31
11129,0,0,1,0,1,7,4,2,2,3,2,5,0,1,1,2,2,2,4,1,4,2,2,3,0,1,8,6,5,7,1,3,4,5,6,5,1,8,8,10,2,6,9,7,1,14,12,4,9,11
11130,0,0,1,5,3,4,4,10,16,10,3,2,1,0,3,1,2,2,1,4,2,2,0,0,0,6,7,14,26,5,1,4,4,5,4,0,1,12,30,15,4,5,7,2,6,21,31,5,9,4
11131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11153,0,0,1,2,1,2,3,0,2,1,0,0,0,0,0,2,0,1,0,2,1,2,1,1,0,3,3,3,3,0,0,2,1,2,3,2,1,5,5,1,0,3,3,4,3,6,3,2,3,5
11157,0,0,0,2,0,2,3,1,8,2,5,1,0,0,0,0,1,1,0,2,1,4,3,0,0,2,2,4,10,6,0,0,2,2,5,3,0,4,12,8,0,2,3,7,2,6,16,0,4,8
13062,0,0,3,2,5,3,8,6,7,5,7,1,1,1,14,11,7,3,0,2,2,4,3,4,0,5,8,14,12,8,2,25,10,2,6,7,3,10,21,13,16,21,4,11,5,22,20,27,12,13
13064,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,2,2,1,3,2,1,0,0,1,2,1,0,1,1,2,3,5,1,0,3,1,1,1,4,6,1,1,3,1,3,8
